config,horizon,n_features,mean_rmse_ratio,mean_dir_acc,mean_dir_baseline,mean_dir_edge,std_dir_edge,tickers_pos_edge
base_h1,1,18,1.1071093181320621,0.5164077509791796,0.5491438054009482,-0.03273605442176872,0.07767972958468279,2
ext_h1,1,29,1.3053601887414288,0.49137563388991956,0.5491438054009482,-0.057768171511028664,0.07870670601482044,1
ext_h5,5,29,1.4074076198894079,0.4604818447634237,0.5995230728335992,-0.13904122807017544,0.19461096524633273,1
ext_h20,20,29,1.3882315980039182,0.4678454872210146,0.6823695918396341,-0.21452410461861937,0.32158251644009794,2
