cost_bps,scheme,sharpe,total_return,bh_sharpe,bh_total,sharpe_vs_bh
0.0,equal_active,2.8015681170474247,1.069608744624579,2.6202497334011596,1.212514785316925,0.18131838364626507
1.0,equal_active,2.738489963056529,1.0415011901780882,2.620249733401151,1.2125147853169187,0.11824022965537795
2.0,equal_active,2.675836327206997,1.013773757310581,2.620249733401152,1.212514785316921,0.05558659380584485
5.0,equal_active,2.4904057737708154,0.9328213405873316,2.620249733401159,1.2125147853169231,-0.12984395963034379
10.0,equal_active,2.1896892477832623,0.8050385793120831,2.6202497334011476,1.2125147853169151,-0.4305604856178853
20.0,equal_active,1.618764527616759,0.5741639388003765,2.6202497334011547,1.21251478531692,-1.0014852057843957
