ticker,config,total_return,ann_return,ann_vol,sharpe,max_drawdown,n_trades,exposure,cost_drag,gross_return
AAPL,buy_and_hold,1.0016264348110164,0.41872115960834955,0.21368007276328513,1.959570465291862,-0.16606645714832735,1,1.0,0.0010120516495013554,1.0026384864605178
AAPL,xgb_default,0.4157997532131201,0.191529841181312,0.16220606851066288,1.1807809839662162,-0.14592316375735548,171,0.586,0.12622969396721295,0.5420294471803331
AAPL,xgb_tuned,0.6669673318787652,0.2937526512931212,0.18620513496202568,1.57757545920003,-0.174131343488373,83,0.798,0.07055086403834054,0.7375181959171058
AAPL,xgb_tuned_volscale,0.8112612744790719,0.3490326950245446,0.19454248256709028,1.7941207001107151,-0.17496378695610648,69,0.828,0.06350845354417878,0.8747697280232507
AAPL,xgb_tuned_decay,0.44272752718546027,0.20289825915360793,0.17488181907464004,1.1602021309431279,-0.17030738533155854,99,0.678,0.07321265252076326,0.5159401797062235
MSFT,buy_and_hold,0.8690379280772396,0.37055203788921953,0.22476960665531587,1.6485860495251967,-0.15486780020271873,1,1.0,0.0009635583575053897,0.870001486434745
MSFT,xgb_default,0.7277387763792604,0.31731292361504004,0.1658411180257159,1.9133549471478863,-0.10267591803256626,205,0.536,0.18620858398807494,0.9139473603673354
MSFT,xgb_tuned,0.9040834202529617,0.38344446332009197,0.19152969669813716,2.0020104972255273,-0.11337057566607744,111,0.772,0.10833207536766176,1.0124154956206235
MSFT,xgb_tuned_volscale,0.8406201178035784,0.36000949023199613,0.1897312151304589,1.8974710618094874,-0.11175581179851846,111,0.766,0.10482676913288458,0.945446886936463
MSFT,xgb_tuned_decay,0.3772106548712275,0.17504957158803336,0.18586627083430096,0.941803861466018,-0.1548678002027185,53,0.762,0.03686579240208254,0.41407644727331006
SPY,buy_and_hold,0.5695094554755395,0.2550615477151199,0.12824879335704598,1.988802709472875,-0.09974327784939874,1,1.0,0.0007942165207464047,0.570303671996286
SPY,xgb_default,0.28204302734213926,0.13339922388348535,0.0972105198497467,1.3722714793591648,-0.09273842924725251,154,0.606,0.10251358824479895,0.3845566155869382
SPY,xgb_tuned,0.33214080118029266,0.1555088221859635,0.11320201998202106,1.3737283328571495,-0.09591856212472893,83,0.822,0.05641821649060752,0.3885590176709002
SPY,xgb_tuned_volscale,0.3687996296906908,0.1714271868094699,0.11334082887422005,1.5124927928638245,-0.09711633718886115,71,0.788,0.04944678146158177,0.41824641115227257
SPY,xgb_tuned_decay,0.31005718365134194,0.14581443042276043,0.10674776937896006,1.365971685132939,-0.08405608805215359,79,0.698,0.05271227475082352,0.36276945840216546
GOOGL,buy_and_hold,1.155871228137547,0.47280720316800906,0.2923065606083214,1.6175045889631983,-0.22137641140089614,1,1.0,0.0011020083756752008,1.1569732365132221
GOOGL,xgb_default,0.5690043293411096,0.2548579531734756,0.1982341432771789,1.2856410553711881,-0.14480432400775456,183,0.516,0.15038081581280793,0.7193851451539175
