ticker,fold,config,rmse_ret,rmse_vs_zero,dir_acc,mean_abs_pred,fit_secs
AAPL,0,xgb_default,0.014974498722097242,1.0549762633747684,0.494949494949495,0.005357820618719415,0.15
AAPL,0,xgb_tuned,0.014071121022152638,0.9913319272276566,0.5252525252525253,0.001038596954458626,0.14
AAPL,0,xgb_tuned_volscale,0.014002064870734835,0.9864668160851854,0.5252525252525253,0.0012370289795873347,0.13
AAPL,0,xgb_tuned_decay,0.01442226626492839,1.0160706448969654,0.48484848484848486,0.0006582726714259479,0.12
AAPL,1,xgb_default,0.014206253649683486,1.1683843589062368,0.53,0.0062185146340925715,0.14
AAPL,1,xgb_tuned,0.012244091288847453,1.0070075548192259,0.53,0.0015150447899941355,0.13
AAPL,1,xgb_tuned_volscale,0.012275267926777227,1.0095716577149418,0.55,0.0016049827125932433,0.14
AAPL,1,xgb_tuned_decay,0.01233745574981419,1.0146862559434788,0.56,0.0013914731920522173,0.12
AAPL,2,xgb_default,0.012425911987104545,1.094679183302116,0.55,0.004885350962358643,0.14
AAPL,2,xgb_tuned,0.011288731774506707,0.9944976024502789,0.5,0.001006557993059687,0.14
AAPL,2,xgb_tuned_volscale,0.011431242304979815,1.0070522794246652,0.44,0.0010096964670914573,0.14
AAPL,2,xgb_tuned_decay,0.01130349480215413,0.9957981733109867,0.52,0.00048330290639569284,0.12
AAPL,3,xgb_default,0.018609593276582386,1.068945566911796,0.44,0.004895321892508946,0.14
AAPL,3,xgb_tuned,0.01739993494415078,0.9994621078854337,0.54,0.0007675978771749214,0.14
AAPL,3,xgb_tuned_volscale,0.017359197478102276,0.9971221247867936,0.58,0.0008609859830296773,0.14
AAPL,3,xgb_tuned_decay,0.01738955581203371,0.9988659246642293,0.62,0.0003215790871445279,0.12
AAPL,4,xgb_default,0.01253383393119283,1.0839449672281591,0.5454545454545454,0.0039049771805548515,0.15
AAPL,4,xgb_tuned,0.01159433006391849,1.0026952479312563,0.5454545454545454,0.0010192182528226113,0.15
AAPL,4,xgb_tuned_volscale,0.011570904891025172,1.0006694034527388,0.5353535353535354,0.0008948325911272105,0.15
AAPL,4,xgb_tuned_decay,0.011464803108691085,0.9914935604021339,0.5555555555555556,0.0007866030980221695,0.13
MSFT,0,xgb_default,0.018098738476282007,0.9836367577213841,0.61,0.005523134194481827,0.13
MSFT,0,xgb_tuned,0.018313857737049723,0.9953281367897249,0.58,0.0006403653912002482,0.13
MSFT,0,xgb_tuned_volscale,0.018291572984170303,0.9941169970134548,0.59,0.0007920022366391964,0.13
MSFT,0,xgb_tuned_decay,0.018554001523678934,1.0083795578032086,0.53,0.0012203734132526733,0.11
MSFT,1,xgb_default,0.015714801436715987,1.131771341197174,0.48,0.005549716779496521,0.14
MSFT,1,xgb_tuned,0.013888007176657514,1.0002066250839212,0.52,0.0010189064953556226,0.13
MSFT,1,xgb_tuned_volscale,0.013893565016070981,1.000606897616315,0.54,0.0009658717541329042,0.13
MSFT,1,xgb_tuned_decay,0.013866331481750479,0.9986455534792237,0.54,0.0013304975239452688,0.12
MSFT,2,xgb_default,0.013961750745903778,1.0829258862313478,0.48,0.004396163308556424,0.14
MSFT,2,xgb_tuned,0.012755635407831227,0.9893750454270422,0.62,0.000719090566963132,0.14
MSFT,2,xgb_tuned_volscale,0.012754373675207136,0.9892771807004046,0.6,0.0007477895635891012,0.14
