method,mean_total_return,mean_ann_return,mean_sharpe,mean_max_dd,mean_trades,mean_exposure,mean_cost_drag,mean_gross_return,mean_rmse_ret,mean_dir_acc,dir_acc_std,mean_fit_secs,beats_bh_sharpe,sharpe_vs_bh,total_vs_bh
always_up,1.787076854454097,0.5761126946721055,1.8301791278163986,-0.17880672972412986,1.0,1.0,0.0014202572577388301,1.7884971117118358,,0.5491438054009482,0.044845771361965804,0.0,True,4.440892098500626e-16,0.0
buy_and_hold,1.787076854454097,0.5761126946721055,1.8301791278163986,-0.17880672972412986,1.0,1.0,0.0014202572577388301,1.7884971117118358,,,,,True,4.440892098500626e-16,0.0
arima,1.1811386394243464,0.39180317157091293,1.3404395452605686,-0.1797732412991064,53.2,0.845,0.05470771515885162,1.235846354583198,0.016377198743215367,0.5343194805194805,0.05130006452210465,1.5936,False,-0.4897395825558295,-0.6059382150297505
xgboost,0.8409001607020612,0.30827095176456376,1.2201358552535813,-0.15929265463539377,185.0,0.5357999999999999,0.18188676460683573,1.0227869253088968,0.017906564751938667,0.5164077509791796,0.05994204191593022,1.6132,False,-0.6100432725628169,-0.9461766937520357
lstm_returns,0.7961621706543496,0.294877354570494,1.1076026339348095,-0.19230335965935436,55.8,0.7163999999999999,0.0529621449636842,0.8491243156180339,0.016394193290959577,0.5186787466501752,0.054540929774651595,4.537,False,-0.7225764938815886,-0.9909146837997473
momentum,0.5458017826397871,0.22196730640359327,0.9041072529463069,-0.16659782728546346,243.9,0.5476,0.20036404303432861,0.7461658256741157,0.02308808461100309,0.5113593898165327,0.045813461107019,0.0,False,-0.9260718748700912,-1.24127507181431
prophet,0.7519916465477756,0.2536155155802686,0.8748429587319334,-0.1917194704400386,61.2,0.5356,0.06311574605821772,0.8151073926059933,0.017059584206557513,0.5006023912595341,0.05868757690344423,0.2414,False,-0.9553361690844647,-1.0350852079063213
persistence_zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01637983617899439,,,0.0,False,-1.8301791278163981,-1.787076854454097
